text,label,split
深北莫是什么学校,school_fact,train
深圳北理莫斯科大学的办学特点是什么,school_fact,train
学校是中外合作大学吗,school_fact,train
深北莫有哪些优势,school_fact,train
学校在哪里,school_fact,train
学校培养模式有什么特点,school_fact,test
今年招生章程有什么要求,admission_policy,train
报考深北莫需要注意什么政策,admission_policy,train
录取规则是什么,admission_policy,train
高考招生章程在哪里看,admission_policy,train
普通类怎么录取,admission_policy,train
调剂政策怎么理解,admission_policy,test
广东物理类多少分能报,score_query,train
我在广东排名两万可以冲吗,score_query,train
历年最低分是多少,score_query,train
计算机专业录取分数线,score_query,train
湖南考生要多少分,score_query,train
我有分数没有位次能判断吗,score_query,test
电子与计算机工程学什么,major_intro,train
材料科学与工程专业介绍,major_intro,train
数学与应用数学适合什么学生,major_intro,train
俄语专业怎么样,major_intro,train
有哪些本科专业,major_intro,train
专业培养方案有什么特点,major_intro,test
宿舍条件怎么样,campus_life,train
校园环境好吗,campus_life,train
食堂怎么样,campus_life,train
学生生活方便吗,campus_life,train
学校住宿怎么安排,campus_life,train
校园生活有哪些信息,campus_life,test
奖学金政策是什么,scholarship,train
有没有助学金,scholarship,train
学费和奖助政策在哪里看,scholarship,train
家庭经济困难可以申请资助吗,scholarship,test
毕业后就业怎么样,career,train
深造机会多吗,career,train
就业方向有哪些,career,train
这个学校适合出国吗,career,test
我适合报电子与计算机工程吗,comparison_or_advice,train
我的分数适合哪些专业,comparison_or_advice,train
深北莫和普通211怎么选,comparison_or_advice,train
想学计算机应该怎么判断风险,comparison_or_advice,test
帮我写情书,unsupported,train
预测明天彩票号码,unsupported,train
帮我保证一定录取,unsupported,train
学校老师私人电话是多少,unsupported,test
能不能伪造录取通知书,unsupported,test
双学籍专业有哪些,program_info,train
哪些专业是单学籍,program_info,train
毕业证是深北莫还是莫斯科大学,program_info,train
生物科学是什么语言教学,program_info,train
电子与计算机工程是双证吗,program_info,test
本科各专业招生人数在哪里看,program_info,test
研究生有哪些专业,graduate_admission,train
硕士每个专业招多少人,graduate_admission,train
博士招生人数是多少,graduate_admission,train
研究生是俄语还是英语教学,graduate_admission,train
硕士毕业拿什么证,graduate_admission,test
博士学制几年,graduate_admission,test
你好,greeting,train
您好,greeting,train
hello,greeting,test
啥意思,clarification,train
什么意思,clarification,train
没看懂,clarification,test
你是谁,daily_chat,train
你叫什么名字,daily_chat,train
你会什么,daily_chat,train
谢谢你,daily_chat,train
辛苦了,daily_chat,train
讲个笑话,daily_chat,train
聊聊天,daily_chat,train
早上好,daily_chat,test
晚上好,daily_chat,test
无聊了陪我聊会儿,daily_chat,test
